gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Dico,Plooij,9753,Korte Muiderweg,Wijnbergen,Limburg,Netherlands,46569,42.2353,-176.8847,-11:00,"Midway Island, Samoa",dico.plooij@example.com,1960-03-07T19:20:20.072Z,61,2017-05-24T14:12:31.477Z,4,(979)-910-0040,(041)-701-8646,https://randomuser.me/api/portraits/men/71.jpg,https://randomuser.me/api/portraits/med/men/71.jpg,https://randomuser.me/api/portraits/thumb/men/71.jpg,NL
male,Mr,William,Claire,6514,St. Lawrence Ave,Cadillac,Nunavut,Canada,W8P 4L3,-17.6734,-174.5242,+7:00,"Bangkok, Hanoi, Jakarta",william.claire@example.com,1973-02-04T15:47:29.713Z,48,2005-06-14T00:19:21.535Z,16,335-090-3388,721-399-5098,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,CA
male,Mr,Curtis,Carr,9207,Mockingbird Hill,El Paso,Wyoming,United States,88488,36.4963,49.9387,+7:00,"Bangkok, Hanoi, Jakarta",curtis.carr@example.com,1982-07-22T04:52:43.817Z,39,2005-12-10T06:54:39.059Z,16,(940)-986-2404,(430)-540-9085,https://randomuser.me/api/portraits/men/66.jpg,https://randomuser.me/api/portraits/med/men/66.jpg,https://randomuser.me/api/portraits/thumb/men/66.jpg,US
female,Ms,Denise,Holmes,8581,Shady Ln Dr,Albury,Western Australia,Australia,9004,54.4754,39.4983,-10:00,Hawaii,denise.holmes@example.com,1997-03-03T06:47:45.382Z,24,2016-05-18T11:04:21.774Z,5,02-4562-0944,0447-821-302,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,AU
male,Mr,Roland,Steward,3730,Church Lane,Leixlip,Fingal,Ireland,12743,81.0567,125.0464,-1:00,"Azores, Cape Verde Islands",roland.steward@example.com,1983-07-14T03:29:33.457Z,38,2009-09-04T17:51:51.804Z,12,061-958-2964,081-801-2948,https://randomuser.me/api/portraits/men/91.jpg,https://randomuser.me/api/portraits/med/men/91.jpg,https://randomuser.me/api/portraits/thumb/men/91.jpg,IE
male,Monsieur,Matthias,Muller,2223,Rue du 8 Mai 1945,Chêne-Bougeries,Valais,Switzerland,3530,45.6450,-158.8132,-4:00,"Atlantic Time (Canada), Caracas, La Paz",matthias.muller@example.com,1960-07-22T07:25:21.740Z,61,2016-01-05T10:02:49.360Z,5,075 615 41 55,078 909 10 55,https://randomuser.me/api/portraits/men/9.jpg,https://randomuser.me/api/portraits/med/men/9.jpg,https://randomuser.me/api/portraits/thumb/men/9.jpg,CH
female,Mrs,Alice,Garcia,5484,The Drive,Stevenage,Suffolk,United Kingdom,Y5 3RA,-30.2546,-152.7966,-2:00,Mid-Atlantic,alice.garcia@example.com,1971-02-22T05:29:30.114Z,50,2005-02-08T11:07:26.196Z,16,017684 11770,0755-713-589,https://randomuser.me/api/portraits/women/2.jpg,https://randomuser.me/api/portraits/med/women/2.jpg,https://randomuser.me/api/portraits/thumb/women/2.jpg,GB
female,Ms,Marsha,Brooks,5306,Westheimer Rd,Rockhampton,Queensland,Australia,4506,-59.8026,24.8202,-6:00,"Central Time (US & Canada), Mexico City",marsha.brooks@example.com,1963-05-04T04:25:33.206Z,58,2005-02-06T15:56:48.365Z,16,02-7755-5626,0483-947-497,https://randomuser.me/api/portraits/women/33.jpg,https://randomuser.me/api/portraits/med/women/33.jpg,https://randomuser.me/api/portraits/thumb/women/33.jpg,AU
female,Miss,Emily,Johnson,1057,West Ave,Richmond,Nova Scotia,Canada,U4X 1E7,47.0814,-117.0181,-1:00,"Azores, Cape Verde Islands",emily.johnson@example.com,1991-11-25T21:36:13.010Z,30,2013-04-21T16:32:51.447Z,8,996-593-9045,571-551-1798,https://randomuser.me/api/portraits/women/29.jpg,https://randomuser.me/api/portraits/med/women/29.jpg,https://randomuser.me/api/portraits/thumb/women/29.jpg,CA
male,Mr,Angel,Kelly,9410,North Street,Leixlip,Waterford,Ireland,85631,-86.1107,9.7364,+5:45,Kathmandu,angel.kelly@example.com,1996-03-28T22:03:55.888Z,25,2015-10-26T07:04:44.832Z,6,011-861-8764,081-952-7832,https://randomuser.me/api/portraits/men/66.jpg,https://randomuser.me/api/portraits/med/men/66.jpg,https://randomuser.me/api/portraits/thumb/men/66.jpg,IE
female,Ms,Beatrice,Yildirim,6096,Ogmunds vei,Nordkjosbotn,Nord-Trøndelag,Norway,7391,43.0454,171.5948,-11:00,"Midway Island, Samoa",beatrice.yildirim@example.com,1979-06-19T22:36:23.005Z,42,2003-09-18T17:26:47.712Z,18,82487244,42232250,https://randomuser.me/api/portraits/women/64.jpg,https://randomuser.me/api/portraits/med/women/64.jpg,https://randomuser.me/api/portraits/thumb/women/64.jpg,NO
male,Mr,Oscar,Moore,6851,Tennyson Street,Nelson,Manawatu-Wanganui,New Zealand,42009,-54.5797,137.3928,-3:30,Newfoundland,oscar.moore@example.com,1952-02-05T15:15:49.631Z,69,2003-01-12T08:03:05.547Z,18,(744)-491-8298,(016)-791-9206,https://randomuser.me/api/portraits/men/84.jpg,https://randomuser.me/api/portraits/med/men/84.jpg,https://randomuser.me/api/portraits/thumb/men/84.jpg,NZ
female,Ms,Juliette,Andersen,3977,York St,Fauquier,Prince Edward Island,Canada,S4Q 7R7,-30.5849,26.6817,+11:00,"Magadan, Solomon Islands, New Caledonia",juliette.andersen@example.com,1952-01-03T21:27:57.143Z,69,2017-06-23T23:14:53.507Z,4,320-106-1069,146-372-7783,https://randomuser.me/api/portraits/women/82.jpg,https://randomuser.me/api/portraits/med/women/82.jpg,https://randomuser.me/api/portraits/thumb/women/82.jpg,CA
female,Mrs,Annabelle,Mitchell,2482,West Ave,Tecumseh,Alberta,Canada,S6W 4F8,67.5630,148.3188,-3:30,Newfoundland,annabelle.mitchell@example.com,1973-10-16T04:19:54.855Z,48,2011-01-04T17:55:03.693Z,10,674-037-4195,731-723-1823,https://randomuser.me/api/portraits/women/5.jpg,https://randomuser.me/api/portraits/med/women/5.jpg,https://randomuser.me/api/portraits/thumb/women/5.jpg,CA
male,Monsieur,Carlo,Gaillard,9352,Esplanade du 9 Novembre 1989,Kestenholz,Uri,Switzerland,5816,85.4039,-160.6855,-9:00,Alaska,carlo.gaillard@example.com,1966-01-02T05:54:27.668Z,55,2007-01-26T04:54:34.827Z,14,076 922 32 09,079 743 78 18,https://randomuser.me/api/portraits/men/82.jpg,https://randomuser.me/api/portraits/med/men/82.jpg,https://randomuser.me/api/portraits/thumb/men/82.jpg,CH
female,Miss,Mar,Cruz,5110,Calle Nebrija,Arrecife,Comunidad de Madrid,Spain,59634,-74.0910,148.0933,-9:00,Alaska,mar.cruz@example.com,1956-11-26T06:46:35.720Z,65,2016-12-05T04:07:13.831Z,5,986-493-452,607-635-061,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,ES
male,Mr,Ruben,Rodriquez,6998,E Pecan St,Bowral,New South Wales,Australia,1617,-22.8176,173.3456,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",ruben.rodriquez@example.com,1951-02-12T18:44:52.890Z,70,2016-08-31T11:09:29.428Z,5,07-2222-5679,0496-475-959,https://randomuser.me/api/portraits/men/4.jpg,https://randomuser.me/api/portraits/med/men/4.jpg,https://randomuser.me/api/portraits/thumb/men/4.jpg,AU
female,Ms,Hannah,Wilson,3387,Camden Ave,Maitland,Victoria,Australia,6610,-59.9931,-59.3651,+5:45,Kathmandu,hannah.wilson@example.com,1964-08-09T12:34:59.454Z,57,2015-08-18T10:35:47.264Z,6,02-9283-7346,0416-397-329,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,AU
male,Mr,Andre,Morgan,4026,The Green,Lichfield,Oxfordshire,United Kingdom,HS8 1PG,-64.4329,-122.1735,+1:00,"Brussels, Copenhagen, Madrid, Paris",andre.morgan@example.com,1973-08-27T20:27:26.370Z,48,2019-01-17T12:35:11.430Z,2,015242 39492,0701-243-705,https://randomuser.me/api/portraits/men/95.jpg,https://randomuser.me/api/portraits/med/men/95.jpg,https://randomuser.me/api/portraits/thumb/men/95.jpg,GB
male,Monsieur,Angel,Giraud,4787,Rue de L'Abbé-Gillet,Altendorf,Ticino,Switzerland,6584,46.6539,58.1237,+4:00,"Abu Dhabi, Muscat, Baku, Tbilisi",angel.giraud@example.com,1977-12-25T14:04:01.012Z,44,2004-03-05T05:47:53.401Z,17,077 852 36 07,077 928 72 18,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,CH
male,Mr,Çetin,Önür,1994,Istiklal Cd,Ağrı,Ağrı,Turkey,16559,-39.5735,145.6979,-9:00,Alaska,cetin.onur@example.com,1989-01-24T09:20:28.413Z,32,2006-09-05T22:24:51.877Z,15,(927)-768-1545,(178)-987-8718,https://randomuser.me/api/portraits/men/89.jpg,https://randomuser.me/api/portraits/med/men/89.jpg,https://randomuser.me/api/portraits/thumb/men/89.jpg,TR
female,Mrs,Catalina,Dominguez,40,Avenida de Salamanca,Arrecife,Castilla la Mancha,Spain,41525,66.9355,10.7614,-5:00,"Eastern Time (US & Canada), Bogota, Lima",catalina.dominguez@example.com,1992-01-27T20:08:12.201Z,29,2004-09-13T12:11:48.523Z,17,987-028-245,657-876-935,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,ES
male,Mr,Olai,Eeg,7963,Jansbergveien,Lyngdal,Nord-Trøndelag,Norway,4792,77.2914,-137.1304,-1:00,"Azores, Cape Verde Islands",olai.eeg@example.com,1969-07-08T04:15:57.745Z,52,2008-01-08T10:26:26.131Z,13,71947520,95984792,https://randomuser.me/api/portraits/men/68.jpg,https://randomuser.me/api/portraits/med/men/68.jpg,https://randomuser.me/api/portraits/thumb/men/68.jpg,NO
